# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-9 0 0 ffffff
-8 0 0 ffffff
-7 0 0 ffffff
-6 0 0 ffffff
-5 0 0 ffffff
-4 0 0 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-9 1 0 ffffff
-8 1 0 ffffff
-7 1 0 ffffff
-6 1 0 ffffff
-5 1 0 ffffff
-4 1 0 ffffff
-3 1 0 ffffff
-2 1 0 ffffff
-1 1 0 ffffff
-9 2 0 ffffff
-8 2 0 ffffff
-7 2 0 ffffff
-6 2 0 ffffff
-5 2 0 ffffff
-4 2 0 ffffff
-3 2 0 ffffff
-2 2 0 ffffff
-1 2 0 ffffff
-9 3 0 ffffff
-8 3 0 ffffff
-7 3 0 ffffff
-6 3 0 ffffff
-5 3 0 ffffff
-4 3 0 ffffff
-3 3 0 ffffff
-2 3 0 ffffff
-1 3 0 ffffff
-9 4 0 ffffff
-8 4 0 ffffff
-7 4 0 ffffff
-6 4 0 ffffff
-5 4 0 ffffff
-4 4 0 ffffff
-3 4 0 ffffff
-2 4 0 ffffff
-1 4 0 ffffff
-9 5 0 ffffff
-8 5 0 ffffff
-7 5 0 ffffff
-6 5 0 ffffff
-5 5 0 ffffff
-4 5 0 ffffff
-3 5 0 ffffff
-2 5 0 ffffff
-1 5 0 ffffff
-9 6 0 ffffff
-8 6 0 ffffff
-7 6 0 ffffff
-6 6 0 ffffff
-5 6 0 ffffff
-4 6 0 ffffff
-3 6 0 ffffff
-2 6 0 ffffff
-1 6 0 ffffff
-9 7 0 ffffff
-8 7 0 ffffff
-7 7 0 ffffff
-6 7 0 ffffff
-5 7 0 ffffff
-4 7 0 ffffff
-3 7 0 ffffff
-2 7 0 ffffff
-1 7 0 ffffff
-9 8 0 ffffff
-8 8 0 ffffff
-7 8 0 ffffff
-6 8 0 ffffff
-5 8 0 ffffff
-4 8 0 ffffff
-3 8 0 ffffff
-2 8 0 ffffff
-1 8 0 ffffff
-7 0 1 ffffff
-6 0 1 ffffff
-5 0 1 ffffff
-4 0 1 ffffff
-3 0 1 ffffff
-2 0 1 ffffff
-1 0 1 ffffff
-7 1 1 ffffff
-6 1 1 ffffff
-5 1 1 ffffff
-4 1 1 ffffff
-3 1 1 ffffff
-2 1 1 ffffff
-1 1 1 ffffff
-7 2 1 ffffff
-6 2 1 ffffff
-5 2 1 ffffff
-4 2 1 ffffff
-3 2 1 ffffff
-2 2 1 ffffff
-1 2 1 ffffff
-7 3 1 ffffff
-6 3 1 ffffff
-5 3 1 ffffff
-4 3 1 ffffff
-3 3 1 ffffff
-2 3 1 ffffff
-1 3 1 ffffff
-7 4 1 ffffff
-6 4 1 ffffff
-5 4 1 ffffff
-4 4 1 ffffff
-3 4 1 ffffff
-2 4 1 ffffff
-1 4 1 ffffff
-7 5 1 ffffff
-6 5 1 ffffff
-5 5 1 ffffff
-4 5 1 ffffff
-3 5 1 ffffff
-2 5 1 ffffff
-1 5 1 ffffff
-8 8 1 639bff
-6 8 1 639bff
-4 8 1 639bff
-2 8 1 639bff
-5 1 2 ffffff
-4 1 2 ffffff
-3 1 2 ffffff
-5 2 2 ffffff
-4 2 2 ffffff
-3 2 2 ffffff
-5 3 2 ffffff
-4 3 2 ffffff
-3 3 2 ffffff
-4 2 3 ffffff
-9 -4 0 ffffff
-8 -4 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-5 -4 0 ffffff
-4 -4 0 ffffff
-3 -4 0 ffffff
-2 -4 0 ffffff
-1 -4 0 ffffff
-9 -3 0 ffffff
-8 -3 0 ffffff
-7 -3 0 ffffff
-6 -3 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-9 -2 0 ffffff
-8 -2 0 ffffff
-7 -2 0 ffffff
-6 -2 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-9 -1 0 ffffff
-8 -1 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-8 -4 1 ac3232
-6 -4 1 ac3232
-4 -4 1 ac3232
-2 -4 1 ac3232
-7 -1 1 ffffff
-6 -1 1 ffffff
-5 -1 1 ffffff
-4 -1 1 ffffff
-3 -1 1 ffffff
-2 -1 1 ffffff
-1 -1 1 ffffff
0 -4 0 ffffff
1 -4 0 ffffff
0 -3 0 ffffff
1 -3 0 ffffff
0 -2 0 ffffff
1 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
0 -4 1 ac3232
1 -4 1 000000
1 -4 2 000000
1 -4 3 000000
1 -4 4 000000
1 -4 5 000000
0 0 0 ffffff
1 0 0 ffffff
0 1 0 ffffff
1 1 0 ffffff
0 2 0 ffffff
1 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
0 5 0 ffffff
1 5 0 ffffff
0 6 0 ffffff
1 6 0 ffffff
0 7 0 ffffff
1 7 0 ffffff
0 8 0 ffffff
1 8 0 ffffff
0 8 1 639bff
